FIPS,wkt_geom
01077,"34.73799,-87.78732 34.73856,-87.79514 34.73910,-87.80128 34.74011,-87.80853 34.74488,-87.82465 34.74962,-87.83798 34.75381,-87.84572 34.89985,-88.10885 34.91414,-88.12653 34.93023,-88.14307 34.99570,-88.19017 34.99982,-88.19291 35.00437,-88.19395 35.01346,-88.19492 35.01479,-88.11294 35.01595,-87.98605 35.00788,-87.20757 34.82179,-87.21479 34.81908,-87.21599 34.75804,-87.25417 34.75402,-87.25764 34.75136,-87.26108 34.74961,-87.26449 34.74835,-87.27012 34.73799,-87.78732"
01079,"34.30259,-87.11047 34.30474,-87.24059 34.31325,-87.53410 34.56767,-87.53043 34.79300,-87.42503 34.79926,-87.41982 34.80318,-87.41019 34.80533,-87.40342 34.80747,-87.39608 34.80955,-87.38538 34.81028,-87.37584 34.80850,-87.35294 34.80798,-87.34903 34.80747,-87.34624 34.76522,-87.20248 34.76380,-87.19971 34.74074,-87.15956 34.73840,-87.15627 34.72720,-87.14095 34.72347,-87.13659 34.70021,-87.10990 34.69743,-87.10719 34.69233,-87.10232 34.68819,-87.09966 34.68590,-87.09860 34.30259,-87.11047"
01081,"32.41609,-85.33122 32.41788,-85.43060 32.58621,-85.69538 32.69976,-85.69703 32.71616,-85.68315 32.73003,-85.60828 32.74605,-85.42796 32.74677,-85.40990 32.74380,-85.12102 32.73919,-85.11588 32.52629,-84.99342 32.52033,-84.99268 32.48195,-85.06013 32.41609,-85.33122"
01083,"34.55879,-86.81229 34.55888,-86.81618 34.55952,-86.82454 34.56015,-86.83177 34.59086,-86.92454 34.59183,-86.92729 34.59421,-86.93224 34.75804,-87.25417 34.77231,-87.26383 34.77507,-87.26543 34.77916,-87.26587 34.78233,-87.26522 35.00788,-87.20757 35.00780,-87.18063 35.00487,-86.99376 34.99699,-86.78237 34.55960,-86.78825 34.55879,-86.81229"
01085,"31.96687,-86.85986 32.05746,-86.91095 32.22928,-86.90701 32.34590,-86.84406 32.40185,-86.78137 32.40264,-86.77646 32.40884,-86.73116 32.41223,-86.64739 32.41212,-86.64305 32.40979,-86.62303 32.40827,-86.61711 32.35047,-86.49816 32.34197,-86.48708 32.25455,-86.40742 32.25181,-86.40699 32.05918,-86.40090 31.97622,-86.40357 31.97108,-86.44915 31.96687,-86.85986"
01087,"32.23888,-85.85181 32.27748,-85.93195 32.34768,-85.98962 32.35512,-85.99418 32.38614,-86.00911 32.41515,-86.01871 32.42428,-86.01885 32.45410,-85.99526 32.45895,-85.99015 32.59017,-85.80138 32.60052,-85.71430 32.59761,-85.69538 32.50523,-85.43755 32.41788,-85.43060 32.23964,-85.43317 32.23888,-85.85181"
01089,"34.47493,-86.46889 34.47527,-86.48226 34.47792,-86.49666 34.55494,-86.78339 34.55960,-86.78825 34.99699,-86.78237 34.99595,-86.42702 34.99552,-86.30856 34.99546,-86.30635 34.94383,-86.24618 34.93738,-86.24308 34.93508,-86.24206 34.58667,-86.29640 34.53695,-86.30627 34.51563,-86.32446 34.48674,-86.41656 34.47493,-86.46889"
01091,"31.99605,-88.06964 31.99820,-88.09554 32.00147,-88.10196 32.01068,-88.10883 32.02079,-88.11568 32.05684,-88.11721 32.41596,-88.04039 32.42414,-88.03807 32.43367,-88.03518 32.43999,-88.03126 32.51894,-87.90528 32.52427,-87.89539 32.54861,-87.84540 32.55034,-87.83938 32.54868,-87.81928 32.48921,-87.52211 32.31004,-87.46688 32.27451,-87.46833 32.14100,-87.52314 32.00959,-87.62526 31.99888,-87.66711 31.99605,-88.06964"
01093,"33.91448,-87.63880 33.92498,-87.94965 34.05902,-88.20261 34.09034,-88.19931 34.32405,-88.16757 34.31262,-87.63371 33.91448,-87.63880"
01095,"34.10494,-86.30291 34.31003,-86.57996 34.40368,-86.58032 34.55009,-86.54633 34.60691,-86.32182 34.60633,-86.13860 34.48269,-86.06085 34.19653,-86.10130 34.10494,-86.30291"
